product_id,product_name,category,subcategory,supplier,cost_price,selling_price
P0112,Product 112,Books,Business,Global Goods,4318.36,5953.74
P0113,Product 113,Beauty,Makeup,Urban Source,8344.7,10254.98
P0114,Product 114,Sports,Team Sports,Urban Source,18923.94,20703.98
P0115,Product 115,Beauty,Makeup,Urban Source,167.63,223.5
P0116,Product 116,Sports,Team Sports,Nova Traders,-100.0,22043.63
P0117,Product 117,Beauty,Skincare,Urban Source,4427.46,6171.0
P0118,Product 118,Fashion,Accessories,Nova Traders,13394.03,22162.6
P0119,Product 119,Beauty,Haircare,Alpha Supply,18394.86,32855.42
P0120,Product 120,Beauty,Skincare,Urban Source,11858.26,18467.58
P0121,Product 121,Home & Kitchen,Cookware,Urban Source,17343.68,21000.51
P0122,Product 122,Fashion,Women,Prime Wholesale,4272.62,5619.9
P0123,Product 123,Beauty,Skincare,Global Goods,5082.82,5789.19
P0124,Product 124,Electronics,Audio,Alpha Supply,19998.16,0.0
P0125,Product 125,ELECTRONICS,Fiction,Nova Traders,853.15,940.46
P0126,Product 126,Electronics,Laptops,Alpha Supply,12445.65,15578.87
P0127,Product 127,Sports,Outdoor,Prime Wholesale,18957.75,26821.89
P0128,Product 128,Home & Kitchen,Furniture,Alpha Supply,12137.56,21530.68
P0129,Product 129,Home & Kitchen,Appliances,Prime Wholesale,19296.18,22341.72
P0130,Product 130,Sports,Outdoor,Nova Traders,13563.08,24005.08
P0131,Product 131,Electronics,Phones,Alpha Supply,11862.35,19905.16
P0132,Product 132,Books,Technology,Alpha Supply,15460.99,26163.26
P0133,Product 133,Sports,Outdoor,Prime Wholesale,15663.58,20832.35
P0134,Product 134,Electronics,Laptops,Urban Source,10143.92,13447.66
P0135,Product 135,Electronics,Laptops,Nova Traders,8698.79,11663.12
P0136,Product 136,Beauty,Haircare,Prime Wholesale,3563.93,5187.86
P0137,Product 137,Sports,Outdoor,Urban Source,16173.57,23734.46
P0138,Product 138,Beauty,Makeup,Nova Traders,16523.41,24893.87
P0139,Product 139,Electronics,Laptops,Global Goods,5614.62,7886.17
P0140,Product 140,Sports,Outdoor,Prime Wholesale,13380.36,17691.59
P0141,Product 141,Home & Kitchen,Cookware,Prime Wholesale,9776.62,13056.42
P0142,Product 142,Fashion,Women,Global Goods,17612.38,27913.02
P0143,Product 143,Electronics,Phones,Urban Source,10356.71,12609.92
P0144,Product 144,Beauty,Makeup,Urban Source,11125.77,13940.96
P0145,Product 145,Beauty,Skincare,Urban Source,15869.01,18201.73
P0146,Product 146,Books,Business,Urban Source,4903.94,7640.59
P0147,Product 147,Sports,Team Sports,Global Goods,10641.89,14753.52
P0148,Product 148,Fashion,Women,Prime Wholesale,7068.62,9943.4
P0149,Product 149,Home & Kitchen,Appliances,Global Goods,2457.08,2994.35
P0150,Product 150,Books,Business,Prime Wholesale,3743.74,4626.5
P0151,Product 151,Books,Technology,Prime Wholesale,11812.26,19222.68
P0152,Product 152,Electronics,Laptops,Nova Traders,16660.94,21547.55
P0153,Product 153,Fashion,Women,Alpha Supply,332.26,486.62
P0154,Product 154,Electronics,Phones,Urban Source,11089.51,17545.16
P0155,Product 155,Electronics,Laptops,Urban Source,17460.76,26074.61
P0156,Product 156,ELECTRONICS,Makeup,Urban Source,6847.08,12154.65
P0157,Product 157,Electronics,Phones,Global Goods,16451.21,22513.63
P0158,Product 158,Books,Technology,Prime Wholesale,13744.7,16345.79
P0159,Product 159,Electronics,Laptops,Global Goods,19878.67,23164.32
P0160,Product 160,Sports,Team Sports,Urban Source,15825.28,19662.83
P0161,Product 161,Beauty,Haircare,Urban Source,18174.66,23519.72
P0162,Product 162,Fashion,Accessories,Alpha Supply,11394.16,12799.81
P0163,Product 163,Home & Kitchen,Appliances,Nova Traders,12529.02,15918.69
P0164,Product 164,Home & Kitchen,Appliances,Urban Source,3517.58,3989.1
P0165,Product 165,Beauty,Skincare,Nova Traders,13802.95,19577.23
P0166,Product 166,Fashion,Women,Alpha Supply,14153.77,22450.02
P0167,Product 167,Books,Technology,Global Goods,4706.8,5979.89
P0168,Product 168,Books,Fiction,Global Goods,16087.92,19666.35
P0169,Product 169,Home & Kitchen,Appliances,Alpha Supply,12970.31,22491.25
P0170,Product 170,Electronics,Audio,Global Goods,3360.16,4373.18
P0171,Product 171,Fashion,Women,Urban Source,8811.11,12489.42
P0172,Product 172,Fashion,Men,Global Goods,10034.42,14404.74
P0173,Product 173,Electronics,Audio,Prime Wholesale,17793.99,28628.12
P0174,Product 174,Electronics,Audio,Global Goods,1871.97,3318.21
P0175,Product 175,Electronics,Laptops,Global Goods,19991.47,31267.51
P0176,Product 176,Electronics,Audio,Urban Source,15274.02,18422.57
P0177,Product 177,Fashion,Accessories,Urban Source,3670.71,5511.34
P0178,Product 178,Electronics,Laptops,Alpha Supply,9426.71,12952.4
P0179,Product 179,Home & Kitchen,Cookware,Urban Source,6629.58,10471.06
P0180,Product 180,Sports,Outdoor,Prime Wholesale,782.11,894.27
P0181,Product 181,Electronics,Audio,Alpha Supply,19405.19,26604.63
P0182,Product 182,Books,Fiction,,17393.88,24570.99
P0183,Product 183,Sports,Team Sports,Urban Source,7267.5,11807.06
P0184,Product 184,Electronics,Laptops,Urban Source,4110.99,6065.51
P0185,Product 185,Books,Technology,Global Goods,9720.0,10699.64
P0186,Product 186,Home & Kitchen,Appliances,Global Goods,14210.17,18526.37
P0187,Product 187,Beauty,Skincare,Urban Source,1909.52,3426.49
P0188,Product 188,Electronics,Audio,Prime Wholesale,12971.81,15447.6
P0189,Product 189,Sports,Outdoor,Urban Source,14122.96,19477.72
P0190,Product 190,Home & Kitchen,Appliances,Global Goods,9162.89,10850.16
P0191,Product 191,Sports,Fitness,Prime Wholesale,14938.54,17601.87
P0192,Product 192,Beauty,Makeup,Alpha Supply,6830.51,11250.92
P0193,Product 193,Fashion,Accessories,Urban Source,14534.72,24461.68
P0194,Product 194,Home & Kitchen,Cookware,Global Goods,8958.62,12799.41
P0195,Product 195,Sports,Fitness,Nova Traders,7575.34,0.0
P0196,Product 196,Sports,Outdoor,Alpha Supply,7690.27,13045.23
P0197,Product 197,Fashion,Women,Urban Source,14906.87,23668.59
P0198,Product 198,Books,Fiction,Urban Source,15858.25,24571.62
P0199,Product 199,Electronics,Laptops,Alpha Supply,2568.61,4559.42
P0200,Product 200,Beauty,Skincare,Nova Traders,2039.25,3539.16
P0201,Product 201,Beauty,Skincare,Urban Source,17425.11,30988.27
P0202,Product 202,Fashion,Accessories,Alpha Supply,6804.3,10742.27
P0203,Product 203,Fashion,Women,Prime Wholesale,17054.21,28970.44
P0204,Product 204,Books,Technology,Alpha Supply,14388.41,23406.62
P0205,Product 205,Sports,Outdoor,Nova Traders,1414.99,2171.21
P0206,Product 206,Books,Technology,Alpha Supply,1853.07,3306.62
P0207,Product 207,Beauty,Skincare,Alpha Supply,3368.98,4364.9
P0208,Product 208,Fashion,Women,Urban Source,15933.06,20573.16
P0209,Product 209,Home & Kitchen,Furniture,Nova Traders,4921.74,6775.65
P0210,Product 210,Home & Kitchen,Cookware,Global Goods,3542.63,5380.67
P0211,Product 211,Books,Fiction,Nova Traders,4854.55,8433.5
P0212,Product 212,Beauty,Haircare,Alpha Supply,12776.2,18025.82
P0213,Product 213,Beauty,Skincare,,18029.13,28267.51
P0214,Product 214,Beauty,Makeup,Urban Source,18907.45,33865.31
P0215,Product 215,Books,Fiction,Urban Source,5039.46,8509.73
P0216,Product 216,Beauty,Makeup,Global Goods,2177.73,2949.91
P0217,Product 217,Fashion,Accessories,Urban Source,19854.21,25662.88
P0218,Product 218,Fashion,Accessories,Alpha Supply,211.55,360.24
P0219,Product 219,Sports,Outdoor,Nova Traders,14916.18,25053.87
P0220,Product 220,Sports,Fitness,Global Goods,16048.54,19863.01
P0221,Product 221,Fashion,Accessories,Nova Traders,13571.4,21701.6
P0222,Product 222,Books,Fiction,Prime Wholesale,1988.42,3045.8
P0223,Product 223,Beauty,Skincare,Alpha Supply,715.62,960.86
P0224,Product 224,Fashion,Men,Nova Traders,6568.05,9058.41
P0225,Product 225,Sports,Team Sports,Prime Wholesale,17535.39,23557.35
P0226,Product 226,Home & Kitchen,Cookware,Prime Wholesale,5176.55,8664.39
P0227,Product 227,Books,Business,Alpha Supply,17414.42,28891.35
P0228,Product 228,Home & Kitchen,Furniture,Urban Source,15095.32,18755.07
P0229,Product 229,Sports,Fitness,Prime Wholesale,7347.21,12117.69
P0230,Product 230,Sports,Team Sports,Prime Wholesale,2515.6,3384.44
P0231,Product 231,Sports,Outdoor,Alpha Supply,7651.46,11781.38
P0232,Product 232,Books,Technology,Prime Wholesale,4714.75,5176.88
P0233,Product 233,Sports,Outdoor,Prime Wholesale,4466.28,5026.87
P0234,Product 234,Books,Fiction,Prime Wholesale,8195.5,9675.93
P0235,Product 235,Beauty,Haircare,Nova Traders,2366.6,2956.02
P0236,Product 236,Beauty,Haircare,Global Goods,9100.19,14221.32
P0237,Product 237,Beauty,Makeup,Alpha Supply,11767.44,18864.99
P0238,Product 238,Beauty,Makeup,Alpha Supply,12332.26,21656.91
P0239,Product 239,Books,Fiction,Prime Wholesale,7442.07,10413.21
P0240,Product 240,Electronics,Audio,Prime Wholesale,19619.51,26378.06
P0241,Product 241,Electronics,Phones,Urban Source,7992.89,9724.65
P0242,Product 242,Electronics,Audio,Alpha Supply,13272.24,20466.16
P0243,Product 243,Electronics,Phones,Global Goods,15746.55,19767.74
P0244,Product 244,Home & Kitchen,Appliances,Global Goods,1418.77,2313.89
P0245,Product 245,Home & Kitchen,Appliances,Global Goods,16270.41,20301.55
P0246,Product 246,Electronics,Phones,Global Goods,5581.63,9982.75
P0247,Product 247,Fashion,Men,Nova Traders,15980.35,18523.57
P0248,Product 248,Electronics,Audio,Prime Wholesale,7196.93,11858.17
P0249,Product 249,Electronics,Audio,Urban Source,3526.21,3941.34
P0250,Product 250,Sports,Outdoor,Prime Wholesale,2317.3,2608.73
P0251,Product 251,Sports,Fitness,Global Goods,11893.64,16715.84
P0252,Product 252,Electronics,Audio,Global Goods,14558.5,25248.82
P0253,Product 253,Fashion,Men,Urban Source,9187.95,16300.33
P0254,Product 254,Beauty,Haircare,Urban Source,8554.16,9903.43
P0255,Product 255,Electronics,Phones,Alpha Supply,17990.37,23601.94
P0256,Product 256,Home & Kitchen,Furniture,Prime Wholesale,5536.57,8503.15
P0257,Product 257,Beauty,Makeup,Global Goods,19892.82,29083.32
P0258,Product 258,Sports,Fitness,Global Goods,8632.48,14252.48
P0259,Product 259,Books,Fiction,Urban Source,17316.57,24063.98
P0260,Product 260,Fashion,Accessories,Alpha Supply,16557.01,22634.85
P0261,Product 261,Fashion,Women,Nova Traders,8563.94,13350.13
P0262,Product 262,Books,Fiction,Alpha Supply,18463.55,20833.09
P0263,Product 263,Beauty,Skincare,Global Goods,1976.46,3185.92
P0264,Product 264,Electronics,Laptops,Alpha Supply,11749.98,17440.99
P0265,Product 265,Beauty,Makeup,Alpha Supply,7104.28,11075.89
P0266,Product 266,Fashion,Accessories,Global Goods,12028.18,16035.79
P0267,Product 267,Home & Kitchen,Appliances,Prime Wholesale,3136.87,4476.87
P0268,Product 268,Sports,Team Sports,Nova Traders,-100.0,12027.21
P0269,Product 269,Beauty,Haircare,Global Goods,16910.85,30129.61
P0270,Product 270,Books,Technology,Prime Wholesale,12871.85,14144.91
P0271,Product 271,Electronics,Laptops,Prime Wholesale,3649.3,5787.58
P0272,Product 272,Fashion,Accessories,Urban Source,171.81,293.16
P0273,Product 273,Electronics,Phones,Alpha Supply,2880.4,4423.96
P0274,Product 274,Books,Business,Prime Wholesale,10633.13,14363.87
P0275,Product 275,Home & Kitchen,Furniture,Global Goods,7432.56,11888.74
P0276,Product 276,Electronics,Audio,Alpha Supply,17672.68,21066.14
P0277,Product 277,Books,Business,Urban Source,1677.55,2346.96
P0278,Product 278,Sports,Team Sports,Alpha Supply,8868.78,11322.6
P0279,Product 279,Fashion,Accessories,Global Goods,8626.78,11076.25
P0280,Product 280,Beauty,Skincare,Urban Source,10562.34,13752.82
P0281,Product 281,Sports,Fitness,Nova Traders,1142.9,1402.55
P0282,Product 282,Fashion,Women,Urban Source,5824.47,6793.6
P0283,Product 283,Home & Kitchen,Appliances,Global Goods,2627.25,3844.87
P0284,Product 284,Sports,Fitness,Urban Source,16675.42,27688.94
P0285,Product 285,Books,Fiction,Prime Wholesale,893.93,977.51
P0286,Product 286,Sports,Team Sports,Urban Source,8614.22,11811.68
P0287,Product 287,Fashion,Women,Nova Traders,2347.71,2570.78
P0288,Product 288,Sports,Outdoor,Alpha Supply,9228.93,14549.59
P0289,Product 289,Beauty,Haircare,Urban Source,16897.46,21209.49
P0290,Product 290,Sports,Team Sports,Prime Wholesale,1619.01,2763.29
P0291,Product 291,Home & Kitchen,Furniture,Alpha Supply,6694.72,8040.73
P0292,Product 292,Sports,Outdoor,Prime Wholesale,10223.54,17709.87
P0293,Product 293,Books,Fiction,Nova Traders,19166.56,29606.95
P0294,Product 294,Electronics,Audio,Nova Traders,2971.56,3631.35
P0295,Product 295,Books,Technology,Urban Source,1553.3,2741.47
P0296,Product 296,Beauty,Makeup,Global Goods,15101.19,24571.32
P0297,Product 297,Books,Technology,Prime Wholesale,12724.2,19463.64
P0298,Product 298,Home & Kitchen,Furniture,Prime Wholesale,8823.27,12508.07
P0299,Product 299,Fashion,Men,,11848.82,15799.2
P0300,Product 300,Beauty,Makeup,Alpha Supply,9065.68,10162.27
P0301,Product 301,Books,Technology,Global Goods,17291.79,29323.61
P0302,Product 302,Sports,Team Sports,Alpha Supply,7720.43,11563.95
P0303,Product 303,Beauty,Skincare,Prime Wholesale,18185.55,27125.44
P0304,Product 304,Sports,Fitness,Urban Source,9538.8,11338.01
P0305,Product 305,Electronics,Audio,Alpha Supply,16228.79,27311.62
P0306,Product 306,Sports,Team Sports,Urban Source,12940.24,14340.15
P0307,Product 307,Beauty,Makeup,Prime Wholesale,10505.17,0.0
P0308,Product 308,Fashion,Accessories,Global Goods,7778.96,12738.94
P0309,Product 309,Electronics,Phones,Prime Wholesale,15795.08,24420.14
P0310,Product 310,Electronics,Laptops,Global Goods,11181.37,15187.95
P0311,Product 311,Home & Kitchen,Appliances,Prime Wholesale,6700.57,10047.99
P0312,Product 312,Fashion,Women,Nova Traders,19355.55,30638.01
P0313,Product 313,Sports,Team Sports,Urban Source,14191.24,16192.17
P0314,Product 314,Books,Technology,Global Goods,15843.66,26387.51
P0315,Product 315,Electronics,Laptops,,12938.2,17917.5
P0316,Product 316,Fashion,Women,Urban Source,6211.88,10962.99
P0317,Product 317,Home & Kitchen,Appliances,Prime Wholesale,4569.53,5387.69
P0318,Product 318,Electronics,Audio,Global Goods,10178.41,14948.37
P0319,Product 319,Electronics,Audio,Nova Traders,13255.49,22680.18
P0320,Product 320,Sports,Team Sports,Global Goods,7565.56,9054.6
P0321,Product 321,Home & Kitchen,Cookware,Nova Traders,14437.6,16046.79
P0322,Product 322,Beauty,Makeup,Nova Traders,12231.38,19835.89
P0323,Product 323,Sports,Outdoor,Nova Traders,4821.41,8559.11
P0324,Product 324,Fashion,Women,Urban Source,13582.22,20247.04
P0325,Product 325,Fashion,Women,,15573.57,22458.53
P0326,Product 326,Home & Kitchen,Cookware,Alpha Supply,16035.12,18915.78
P0327,Product 327,Books,Fiction,Global Goods,9637.78,12984.72
P0328,Product 328,Electronics,Laptops,Urban Source,5737.01,9348.14
P0329,Product 329,Sports,Fitness,Urban Source,2989.61,4170.45
P0330,Product 330,Fashion,Women,Global Goods,18612.91,25662.1
P0331,Product 331,Fashion,Women,Nova Traders,4753.77,8538.05
P0332,Product 332,Electronics,Audio,Prime Wholesale,6407.76,7377.51
P0333,Product 333,Home & Kitchen,Cookware,Nova Traders,2795.11,3596.06
P0334,Product 334,Books,Fiction,Alpha Supply,9408.75,14330.0
P0335,Product 335,Fashion,Accessories,Global Goods,4352.31,5169.04
P0336,Product 336,Sports,Fitness,Prime Wholesale,8493.93,13920.23
P0337,Product 337,Electronics,Audio,Urban Source,1002.6,1385.87
P0338,Product 338,Electronics,Audio,Global Goods,2261.62,3916.46
P0339,Product 339,Electronics,Audio,Nova Traders,12657.5,18910.74
P0340,Product 340,Fashion,Men,Global Goods,8613.32,13115.18
P0341,Product 341,Beauty,Haircare,Prime Wholesale,3786.91,5911.8
P0342,Product 342,Electronics,Audio,Global Goods,19070.4,28066.65
P0343,Product 343,Electronics,Audio,Urban Source,7839.55,11120.38
P0344,Product 344,Fashion,Men,Prime Wholesale,5110.32,5578.91
P0345,Product 345,Home & Kitchen,Furniture,Prime Wholesale,14672.17,22482.83
P0346,Product 346,Home & Kitchen,Furniture,Nova Traders,934.5,1376.64
P0347,Product 347,Books,Technology,Nova Traders,9319.23,14730.72
P0348,Product 348,Home & Kitchen,Cookware,Alpha Supply,1308.86,2145.03
P0349,Product 349,Fashion,Men,Prime Wholesale,4071.74,6716.74
P0350,Product 350,Fashion,Accessories,Urban Source,10331.9,18516.5
P0351,Product 351,Fashion,Women,Prime Wholesale,780.58,1206.6
P0352,Product 352,Electronics,Phones,Prime Wholesale,17322.68,22848.37
P0353,Product 353,Beauty,Makeup,Prime Wholesale,17795.26,28742.58
P0354,Product 354,Home & Kitchen,Furniture,Prime Wholesale,9949.25,14309.18
P0355,Product 355,Electronics,Audio,Nova Traders,14555.27,16546.83
P0356,Product 356,Sports,Outdoor,Prime Wholesale,5910.64,6820.11
P0357,Product 357,Fashion,Men,Urban Source,8946.02,14284.26
P0358,Product 358,Fashion,Women,Global Goods,8970.24,14382.04
P0359,Product 359,Beauty,Skincare,Alpha Supply,5527.38,9869.8
P0360,Product 360,Books,Technology,Nova Traders,12768.38,17129.85
P0361,Product 361,Electronics,Laptops,Alpha Supply,2898.45,4398.26
P0362,Product 362,electronics,Cookware,Prime Wholesale,1391.31,2282.49
P0363,Product 363,Beauty,Skincare,Urban Source,18991.87,20954.06
P0364,Product 364,Fashion,Accessories,Nova Traders,7471.67,12174.49
P0365,Product 365,Sports,Outdoor,Nova Traders,7370.65,9628.7
P0366,Product 366,Electronics,Audio,Urban Source,566.97,688.28
P0367,Product 367,Sports,Team Sports,Urban Source,2399.33,3930.04
P0368,Product 368,Home & Kitchen,Cookware,Nova Traders,19927.48,25619.07
P0369,Product 369,Electronics,Phones,Urban Source,2757.78,3125.44
P0370,Product 370,Electronics,Laptops,Prime Wholesale,16219.74,28816.71
P0371,Product 371,Books,Business,Nova Traders,1345.53,1978.42
P0372,Product 372,Books,Fiction,Prime Wholesale,14205.8,22504.23
P0373,Product 373,Sports,Fitness,Nova Traders,4523.62,8094.09
P0374,Product 374,Beauty,Makeup,Urban Source,574.37,849.43
P0375,Product 375,ELECTRONICS,Fitness,Prime Wholesale,2638.94,4530.16
P0376,Product 376,Beauty,Haircare,Urban Source,19991.92,31938.81
P0377,Product 377,Beauty,Makeup,Alpha Supply,16475.62,18668.53
P0378,Product 378,ELECTRONICS,Skincare,Global Goods,9343.37,13571.24
P0379,Product 379,Books,Fiction,Urban Source,11776.33,19228.42
P0380,Product 380,Sports,Fitness,Global Goods,18218.71,20403.08
P0381,Product 381,Home & Kitchen,Furniture,Nova Traders,6117.28,7320.04
P0382,Product 382,Fashion,Women,Alpha Supply,18952.29,27549.17
P0383,Product 383,Fashion,Women,Nova Traders,3966.22,7014.55
P0384,Product 384,Books,Technology,Nova Traders,6091.35,8918.37
P0385,Product 385,Sports,Team Sports,Global Goods,18835.06,22432.93
P0386,Product 386,Books,Technology,Alpha Supply,18044.92,23874.98
P0387,Product 387,Electronics,Audio,Prime Wholesale,1670.4,2944.84
P0388,Product 388,Books,Technology,Alpha Supply,4255.63,6349.14
