order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,payment_method,sales_channel,order_status
O000040,C01576,P0218,2026-11-19,1,360.24,0.174,291.43,COD,Marketplace,Completed
O000041,C01621,P0106,2026-05-08,5,32720.37,0.096,58.32,UPI,Mobile App,Completed
O000042,C05070,P0105,2026-11-30,2,25030.21,0.196,66.93,UPI,Website,Cancelled
O000043,C09104,P0464,2026-06-18,4,21743.0,0.167,22.07,UPI,Mobile App,Completed
O000044,C04901,P0062,2026-10-10,2,16536.81,0.21,240.5,Debit Card,Website,Returned
O000045,C07146,P0479,2025-08-07,6,2099.31,0.019,466.13,COD,Marketplace,Cancelled
O000046,C01176,P0252,2026-09-12,4,25248.82,0.074,225.78,Credit Card,Marketplace,Completed
O000047,C06209,P0020,2025-04-24,6,7376.73,0.125,315.04,UPI,Marketplace,Cancelled
O000048,C00785,P0087,2025-10-18,2,17587.05,0.16,77.11,UPI,Marketplace,Pending
O000049,C07100,P0043,2026-09-04,3,19667.73,0.054,44.67,Credit Card,Mobile App,Completed
O000050,C05295,P0209,2025-06-21,5,6775.65,0.063,185.31,Credit Card,Marketplace,Returned
O000051,C05953,P0379,2026-10-11,3,19228.42,0.223,20.97,Debit Card,Mobile App,Completed
O000052,C04521,P0479,2026-12-23,6,2099.31,0.117,280.55,Net Banking,Marketplace,Cancelled
O000053,C03620,P0219,2026-09-05,4,25053.87,0.151,263.21,UPI,Website,Cancelled
O000054,C07090,P0055,2025-12-15,5,1494.94,0.248,356.36,COD,Mobile App,Returned
O000055,C03019,P0107,2025-05-30,3,24505.43,0.091,262.34,COD,Marketplace,Completed
O000056,C05925,P0234,2026-11-01,2,9675.93,0.097,83.97,COD,Mobile App,Completed
O000057,C00702,P0133,2026-11-11,4,20832.35,0.218,248.68,UPI,Mobile App,Cancelled
O000058,C06898,P0057,2026-06-06,2,2390.61,0.001,412.84,Credit Card,Mobile App,Completed
O000059,C00085,P0404,2025-04-16,6,1589.31,0.128,393.45,UPI,Marketplace,Returned
O000060,C07961,P0210,2025-04-13,5,5380.67,0.15,342.71,Credit Card,Marketplace,Pending
O000061,C01995,P0004,2025-04-24,4,17898.6,0.102,112.24,Debit Card,Marketplace,Pending
O000062,C09111,P0072,2025-06-29,2,21918.19,0.036,91.08,Credit Card,Mobile App,Completed
O000063,C03156,P0275,2026-06-23,3,11888.74,0.118,435.84,Debit Card,Marketplace,Cancelled
O000064,C04391,P0017,2026-07-22,1,22052.89,0.068,38.73,COD,Marketplace,Completed
O000065,C04035,P0117,2025-04-29,3,6171.0,0.222,68.85,Debit Card,Marketplace,Completed
O000066,C02386,P0423,2026-03-30,3,10173.3,0.049,484.25,Credit Card,Marketplace,Pending
O000067,C05889,P0473,2025-05-01,1,20059.98,0.198,229.61,COD,Marketplace,Completed
O000068,C00282,P0307,2026-07-08,4,0.0,0.131,34.02,UPI,Website,Cancelled
O000069,C03975,P0053,2025-12-04,5,17135.79,0.072,436.03,Debit Card,Website,Cancelled
O000070,C04304,P0447,2025-04-08,2,22638.2,0.197,265.06,Debit Card,Mobile App,Returned
O000071,C09022,P0410,2025-05-12,4,5205.99,0.072,444.22,UPI,Website,Completed
O000072,C00370,P0329,2025-08-17,5,4170.45,0.169,464.64,COD,Website,Cancelled
O000073,C03725,P0255,2026-11-21,5,23601.94,0.161,484.67,COD,Marketplace,Completed
O000074,C07285,P0342,2026-09-28,2,28066.65,0.024,415.48,Debit Card,Website,Returned
O000075,C05295,P0306,2026-07-20,5,14340.15,0.003,410.87,Debit Card,Mobile App,Cancelled
O000076,C04559,P0304,2026-07-12,5,11338.01,0.077,388.71,Credit Card,Marketplace,Completed
O000077,C00801,P0428,2026-10-15,4,6644.37,0.151,226.36,Debit Card,Mobile App,Pending
O000078,C01093,P0267,2026-01-22,5,4476.87,0.2,225.99,UPI,Mobile App,Cancelled
O000079,C06083,P0216,2025-10-07,4,2949.91,0.06,237.13,COD,Website,Completed
O000080,C06853,P0205,2025-08-17,3,2171.21,0.036,218.9,Net Banking,Website,Cancelled
O000081,C00336,P0301,2026-10-13,5,29323.61,0.015,191.7,Net Banking,Mobile App,Pending
O000082,C06518,P0246,2026-10-18,6,9982.75,0.1,314.61,Debit Card,Mobile App,Cancelled
O000083,C08709,P0236,2025-01-10,4,14221.32,0.215,106.57,Debit Card,Marketplace,Pending
O000084,C04940,P0124,2025-08-06,6,0.0,0.035,140.26,Net Banking,Website,Completed
O000085,C05424,P0141,2025-04-24,1,13056.42,0.114,80.49,Debit Card,Website,Returned
O000086,C04617,P0308,2026-04-15,1,12738.94,0.082,182.26,Net Banking,Website,Returned
O000087,C04548,P0090,2025-06-16,4,15259.31,0.141,201.84,Credit Card,Mobile App,Returned
O000088,C02366,P0032,2026-11-04,2,2064.21,0.249,122.19,Net Banking,Mobile App,Cancelled
O000089,C08812,P0184,2025-11-26,2,6065.51,0.233,427.2,Credit Card,Marketplace,Returned
O000090,C09914,P0116,2025-05-24,1,22043.63,0.07,457.59,COD,Mobile App,Pending
O000091,C01626,P0464,2025-06-11,6,21743.0,0.154,63.51,COD,Mobile App,Pending
O000092,C06673,P0308,2025-03-31,2,12738.94,0.207,32.69,COD,Marketplace,Pending
O000093,C06654,P0464,2025-06-30,1,21743.0,0.09,135.55,COD,Marketplace,Pending
O000094,C00541,P0244,2025-12-30,1,2313.89,0.099,493.38,Credit Card,Website,Pending
O000095,C00125,P0301,2026-01-02,2,29323.61,0.125,164.99,Credit Card,Website,Completed
O000096,C03922,P0215,2026-08-14,1,8509.73,0.168,43.4,Credit Card,Website,Cancelled
O000097,C01013,P0317,2026-09-11,2,5387.69,0.122,253.86,UPI,Website,Completed
O000098,C9999997,P0095,2025-04-12,6,6983.13,0.145,183.96,Credit Card,Website,Cancelled
O000099,C01049,P0193,2026-05-20,6,24461.68,0.179,154.77,Net Banking,Marketplace,Cancelled
O000100,C02337,P0182,2026-08-17,5,24570.99,0.077,369.01,Credit Card,Website,Cancelled
O000101,C03840,P0407,2025-05-20,3,21064.71,0.182,489.16,UPI,Mobile App,Returned
O000102,C04746,P0239,2026-01-21,5,10413.21,0.192,156.73,COD,Marketplace,Cancelled
O000103,C04845,P0429,2025-05-02,2,19687.31,0.111,395.54,Debit Card,Website,Completed
O000104,C06894,P0472,2026-03-15,1,21277.96,0.168,487.54,COD,Mobile App,Completed
O000105,C01097,P0177,2026-03-05,2,5511.34,0.165,331.09,Credit Card,Website,Pending
O000106,C08970,P0284,2026-05-04,1,27688.94,0.205,331.04,UPI,Mobile App,Completed
O000107,C01135,P0409,2025-09-09,6,3674.14,0.156,94.82,UPI,Mobile App,Returned
O000108,C07829,P0321,2026-01-31,5,16046.79,0.17,232.06,COD,Website,Cancelled
O000109,C08834,P0126,2025-05-07,2,15578.87,0.038,348.3,Debit Card,Marketplace,Pending
O000110,C08399,P0037,2025-10-19,2,25287.47,0.095,325.16,Debit Card,Mobile App,Pending
O000111,C09934,P0467,2025-06-05,4,611.8,0.021,157.31,Debit Card,Website,Completed
O000112,C04025,P0021,2025-12-11,1,24563.67,0.235,137.52,Net Banking,Marketplace,Pending
O000113,C04255,P0448,2025-05-27,2,24320.58,0.176,55.11,COD,Mobile App,Returned
O000114,C04225,P0195,2026-07-03,5,0.0,0.052,486.03,UPI,Mobile App,Pending
O000115,C05585,P0411,2025-03-15,6,8729.1,0.124,184.4,Credit Card,Marketplace,Pending
O000116,C06355,P0022,2025-02-01,1,16072.13,0.025,151.9,Debit Card,Website,Returned
O000117,C06043,P9999116,2025-08-14,3,10742.27,0.046,233.66,UPI,Website,Returned
O000118,C08012,P0094,2025-09-12,3,15650.07,0.079,185.8,Debit Card,Marketplace,Returned
O000119,C08667,P0161,2025-09-24,4,23519.72,0.153,489.17,COD,Marketplace,Cancelled
O000120,C04719,P0302,2026-08-15,4,11563.95,0.04,153.77,Debit Card,Website,Completed
O000121,C09480,P0158,2026-02-28,4,16345.79,0.156,171.15,Credit Card,Marketplace,Returned
O000122,C02343,P0168,2025-04-23,4,19666.35,0.133,180.23,UPI,Mobile App,Pending
O000123,C09786,P0385,2025-07-03,4,22432.93,0.219,361.26,Credit Card,Marketplace,Cancelled
O000124,C04218,P0360,2025-08-09,1,17129.85,0.153,300.47,Debit Card,Website,Completed
O000125,C06083,P0068,2026-11-04,5,8309.89,0.028,229.8,UPI,Website,Pending
O000126,C00103,P0404,2026-07-18,2,1589.31,0.073,256.85,Debit Card,Mobile App,Returned
O000127,C01905,P0371,2026-01-18,5,1978.42,0.116,441.07,Net Banking,Mobile App,Completed
O000128,C02195,P0235,2026-06-27,1,2956.02,0.051,331.87,UPI,Mobile App,Returned
O000129,C03982,P0285,2025-05-28,6,977.51,0.21,473.0,Credit Card,Mobile App,Pending
O000130,C05189,P0356,2025-10-04,1,6820.11,0.232,355.38,UPI,Marketplace,Returned
O000131,C03230,P0250,2026-02-09,4,2608.73,0.191,233.73,COD,Marketplace,Pending
O000132,C06986,P0344,2026-06-17,2,5578.91,0.212,396.24,Credit Card,Website,Completed
O000133,C00803,P0035,2025-01-28,2,24169.28,0.221,416.21,Net Banking,Mobile App,Cancelled
O000134,C03335,P0065,2026-07-11,4,32687.15,0.204,391.15,Credit Card,Website,Returned
O000135,C02727,P0435,2026-06-06,4,7634.93,0.169,202.89,Net Banking,Marketplace,Returned
O000136,C06246,P0256,2025-07-31,6,8503.15,0.185,61.18,UPI,Mobile App,Cancelled
O000137,C02181,P0311,2026-09-06,3,10047.99,0.223,440.82,UPI,Marketplace,Cancelled
O000138,C01864,P0470,2025-02-23,4,6988.34,0.07,363.29,Credit Card,Website,Cancelled
O000139,C03526,P0319,2026-08-01,3,22680.18,0.191,64.92,Debit Card,Website,Completed
O000140,C07786,P0040,2025-04-23,1,30773.08,0.225,160.05,Debit Card,Marketplace,Completed
O000141,C09455,P0277,2026-06-06,1,2346.96,0.054,271.48,UPI,Mobile App,Cancelled
O000142,C01047,P0327,2025-09-05,1,12984.72,0.015,49.49,Debit Card,Mobile App,Returned
O000143,C03129,P0458,2025-12-05,5,22692.42,0.085,349.81,Net Banking,Marketplace,Completed
O000144,C05239,P0141,2026-04-15,5,13056.42,0.161,249.11,Debit Card,Marketplace,Completed
O000145,C08460,P0101,2026-02-17,1,18423.22,0.156,25.77,Debit Card,Mobile App,Cancelled
O000146,C04297,P0230,2026-07-17,1,3384.44,0.122,411.51,UPI,Website,Completed
O000147,C09934,P0080,2026-02-19,4,18245.21,0.198,335.39,Net Banking,Marketplace,Pending
O000148,C08454,P0248,2026-01-10,6,11858.17,0.026,64.84,COD,Mobile App,Returned
O000149,C07186,P0058,2026-01-30,1,7482.96,0.142,245.61,Debit Card,Marketplace,Pending
O000150,C05257,P0340,2025-02-12,2,13115.18,0.04,51.52,UPI,Mobile App,Pending
O000151,C09635,P0192,2025-03-10,2,11250.92,0.064,328.94,Debit Card,Mobile App,Cancelled
O000152,C03923,P0226,2026-01-09,6,8664.39,0.037,197.42,Credit Card,Marketplace,Pending
O000153,C07670,P0145,2025-04-07,2,18201.73,0.097,336.54,COD,Mobile App,Completed
O000154,C07009,P0035,2026-03-12,6,24169.28,0.083,410.9,Net Banking,Mobile App,Pending
O000155,C03351,P0003,2025-12-16,2,9326.39,0.002,398.57,Credit Card,Mobile App,Pending
O000156,C03637,P0246,2026-10-25,4,9982.75,0.107,288.88,Debit Card,Mobile App,Completed
O000157,C05242,P0327,2025-06-18,3,12984.72,0.203,360.86,Credit Card,Marketplace,Cancelled
O000158,C08919,P0484,2025-01-05,3,31375.87,0.107,484.77,COD,Website,Completed
O000159,C07483,P0275,2025-01-09,5,11888.74,0.231,80.03,Credit Card,Marketplace,Pending
O000160,C01981,P0487,2025-04-29,4,22124.67,0.198,245.19,Net Banking,Mobile App,Pending
O000161,C06389,P0164,2026-06-01,2,3989.1,0.173,250.75,Credit Card,Website,Completed
O000162,C02320,P0005,2025-02-19,4,6690.68,0.227,90.28,Debit Card,Website,Pending
O000163,C00850,P0152,2026-11-26,6,21547.55,0.073,123.97,Debit Card,Marketplace,Returned
O000164,C07000,P0435,2025-04-07,6,7634.93,0.166,493.02,UPI,Marketplace,Returned
O000165,C06534,P0056,2025-12-25,4,21863.42,0.091,312.76,COD,Mobile App,Returned
O000166,C08586,P0152,2026-01-22,1,21547.55,0.152,367.25,Credit Card,Website,Cancelled
O000167,C02496,P0399,2026-01-11,3,13021.83,0.004,315.2,Credit Card,Mobile App,Pending
O000168,C03282,P0346,2026-04-15,4,1376.64,0.171,194.97,Credit Card,Website,Completed
O000169,C00218,P0297,2026-10-01,1,19463.64,0.19,137.06,COD,Website,Cancelled
O000170,C01869,P0355,2025-02-21,3,16546.83,0.12,136.76,Debit Card,Mobile App,Completed
O000171,C01135,P0043,2025-02-14,3,19667.73,0.009,357.01,COD,Marketplace,Pending
O000172,C05713,P0215,2026-02-15,1,8509.73,0.008,35.69,Net Banking,Marketplace,Pending
O000173,C07467,P0343,2026-09-05,3,11120.38,0.211,456.67,Net Banking,Website,Pending
O000174,C08061,P0164,2026-01-02,3,3989.1,0.127,362.59,UPI,Marketplace,Pending
O000175,C04132,P0056,2025-04-04,3,21863.42,0.143,246.56,COD,Website,Returned
O000176,C02553,P0325,2025-09-03,4,22458.53,0.213,345.81,UPI,Website,Completed
O000177,C06936,P0483,2026-02-22,4,18932.17,0.173,412.3,Debit Card,Website,Pending
O000178,C02728,P0159,2026-08-30,4,23164.32,0.135,146.66,COD,Marketplace,Pending
O000179,C02315,P0149,2026-11-23,1,2994.35,0.01,36.5,UPI,Marketplace,Returned
O000180,C00287,P0341,2026-01-22,1,5911.8,0.022,339.94,Debit Card,Website,Completed
O000181,C01877,P0287,2026-05-23,3,2570.78,0.07,415.47,COD,Marketplace,Pending
O000182,C03842,P0374,2025-07-22,1,849.43,0.22,354.12,Debit Card,Mobile App,Pending
O000183,C00211,P0196,2025-07-25,5,13045.23,0.178,419.65,UPI,Website,Completed
O000184,C09645,P0370,2026-09-02,1,28816.71,0.147,272.64,Credit Card,Website,Returned
O000185,C08712,P0267,2025-11-14,1,4476.87,0.182,408.58,UPI,Website,Pending
O000186,C09833,P0172,2026-07-11,6,14404.74,0.238,50.95,Credit Card,Marketplace,Completed
O000187,C03615,P0319,2026-12-25,6,22680.18,0.058,463.26,COD,Mobile App,Returned
O000188,C00406,P0046,2026-07-01,2,11595.21,0.193,209.08,Net Banking,Website,Pending
O000189,C09373,P0071,2025-12-24,6,1227.13,0.159,269.56,Debit Card,Mobile App,Cancelled
O000190,C01207,P0394,2025-08-14,4,22088.6,0.212,438.47,UPI,Website,Cancelled
O000191,C00138,P0349,2025-09-08,5,6716.74,0.237,343.68,Net Banking,Mobile App,Returned
O000192,C02286,P0477,2025-10-25,2,6516.0,0.151,316.99,UPI,Marketplace,Completed
O000193,C07773,P0383,2025-08-27,3,7014.55,0.035,222.65,COD,Marketplace,Cancelled
O000194,C06999,P0332,2026-05-13,1,7377.51,0.189,69.85,COD,Marketplace,Completed
O000195,C08697,P0261,2025-05-09,4,13350.13,0.12,437.47,Net Banking,Website,Returned
O000196,C05858,P0475,2026-11-12,2,14838.17,0.108,272.46,UPI,Website,Returned
O000197,C09702,P0451,2025-06-26,6,16792.95,0.04,463.67,Credit Card,Website,Returned
O000198,C00184,P0222,2026-06-12,4,3045.8,0.111,418.79,Net Banking,Marketplace,Pending
O000199,C02770,P0230,2025-11-29,6,3384.44,0.099,475.81,Credit Card,Marketplace,Completed
O000200,C09267,P0238,2025-11-22,3,21656.91,0.145,136.08,Net Banking,Website,Pending
O000201,C07108,P0166,2025-06-05,3,22450.02,0.156,250.53,Debit Card,Marketplace,Returned
O000202,C06052,P0195,2026-07-25,3,0.0,0.006,422.53,Net Banking,Website,Cancelled
O000203,C02045,P0016,2025-10-25,1,23123.47,0.23,471.77,COD,Website,Returned
O000204,C02279,P0169,2025-03-13,4,22491.25,0.138,110.47,Net Banking,Mobile App,Returned
O000205,C01871,P0180,2026-10-26,1,894.27,0.134,231.87,Debit Card,Marketplace,Returned
O000206,C00072,P0021,2025-02-14,1,24563.67,0.218,193.31,Net Banking,Website,Cancelled
O000207,C09195,P0139,2026-04-03,5,7886.17,0.176,106.85,COD,Mobile App,Returned
O000208,C09661,P0026,2025-05-25,6,28687.67,0.058,28.0,Credit Card,Website,Completed
O000209,C01046,P0053,2025-01-14,6,17135.79,0.219,183.15,Net Banking,Mobile App,Completed
O000210,C06579,P0253,2025-01-24,3,16300.33,0.043,382.03,Net Banking,Mobile App,Pending
O000211,C03455,P0093,2026-09-12,2,3580.4,0.057,110.74,UPI,Marketplace,Completed
O000212,C03205,P0197,2026-05-26,2,23668.59,0.222,26.55,UPI,Website,Cancelled
O000213,C02276,P0403,2026-03-10,2,23738.64,0.226,332.58,Debit Card,Marketplace,Returned
O000214,C04724,P0187,2026-10-13,2,3426.49,0.117,400.45,UPI,Marketplace,Cancelled
O000215,C04999,P0254,2025-10-11,6,9903.43,0.023,328.16,COD,Marketplace,Cancelled
O000216,C00815,P0462,2025-09-19,4,28691.71,0.17,455.99,COD,Marketplace,Returned
O000217,C03586,P0404,2026-01-17,2,1589.31,0.09,165.89,Debit Card,Mobile App,Completed
O000218,C06863,P0144,2026-07-04,4,13940.96,0.164,450.24,Debit Card,Marketplace,Pending
O000219,C09201,P0342,2025-10-31,6,28066.65,0.218,263.2,Credit Card,Marketplace,Cancelled
O000220,C08103,P0336,2026-03-03,5,13920.23,0.236,322.39,Credit Card,Mobile App,Returned
O000221,C07549,P0425,2025-01-31,3,11643.91,0.129,135.36,COD,Mobile App,Returned
O000222,C06694,P0003,2025-06-12,5,9326.39,0.225,159.55,Net Banking,Marketplace,Pending
O000223,C09783,P0337,2026-03-17,6,1385.87,0.063,137.05,Debit Card,Marketplace,Completed
O000224,C00977,P0183,2025-11-23,1,11807.06,0.191,399.41,Debit Card,Marketplace,Completed
O000225,C00135,P0306,2025-06-19,2,14340.15,0.133,212.43,UPI,Mobile App,Pending
O000226,C09293,P0144,2025-07-20,2,13940.96,0.229,383.92,UPI,Marketplace,Returned
O000227,C09672,P0229,2025-05-26,2,12117.69,0.229,255.21,Debit Card,Mobile App,Cancelled
O000228,C00469,P0342,2026-07-30,6,28066.65,0.242,22.3,UPI,Mobile App,Pending
O000229,C02174,P0172,2025-02-09,5,14404.74,0.248,72.77,UPI,Mobile App,Cancelled
O000230,C03437,P0012,2025-11-16,6,15285.6,0.046,289.92,Debit Card,Website,Completed
O000231,C03810,P0072,2026-12-05,4,21918.19,0.149,390.45,Credit Card,Mobile App,Cancelled
O000232,C01830,P0097,2025-04-13,1,3919.9,0.199,367.94,Credit Card,Website,Cancelled
O000233,C05865,P0295,2026-02-15,1,2741.47,0.069,437.09,Credit Card,Mobile App,Cancelled
O000234,C05636,P0077,2025-07-07,5,31547.11,0.109,344.31,UPI,Marketplace,Completed
O000235,C05736,P0269,2026-07-22,3,30129.61,0.124,273.69,Debit Card,Mobile App,Cancelled
O000236,C09890,P0489,2025-02-11,1,22033.69,0.065,383.17,UPI,Marketplace,Pending
O000237,C05637,P0166,2025-11-08,1,22450.02,0.02,339.47,Debit Card,Mobile App,Pending
O000238,C02224,P0353,2026-03-04,4,28742.58,0.175,463.43,COD,Website,Completed
O000239,C01565,P0213,2026-01-30,4,28267.51,0.05,232.29,Credit Card,Website,Cancelled
O000240,C06970,P0426,2025-06-20,4,17178.66,0.094,223.13,Debit Card,Website,Pending
O000241,C08375,P0386,2025-05-02,4,23874.98,0.007,143.62,COD,Mobile App,Pending
O000242,C03835,P0008,2026-08-08,5,25930.87,0.155,48.42,UPI,Marketplace,Returned
O000243,C09793,P0124,2026-09-26,1,0.0,0.198,132.74,Debit Card,Website,Returned
O000244,C05406,P0382,2025-02-03,4,27549.17,0.235,169.17,Net Banking,Marketplace,Pending
O000245,C07221,P0470,2026-03-05,2,6988.34,0.229,357.87,Credit Card,Marketplace,Completed
O000246,C08701,P0486,2025-08-23,2,20117.66,0.238,123.35,Net Banking,Marketplace,Completed
O000247,C04781,P0158,2026-11-05,5,16345.79,0.086,469.16,Credit Card,Website,Pending
O000248,C00757,P0190,2026-01-11,5,10850.16,0.204,212.35,Credit Card,Marketplace,Pending
O000249,C07724,P0403,2025-05-16,6,23738.64,0.059,138.23,Debit Card,Mobile App,Returned
O000250,C05427,P0194,2025-04-23,4,12799.41,0.046,312.62,Debit Card,Marketplace,Completed
O000251,C08542,P0384,2025-03-29,3,8918.37,0.157,113.16,Credit Card,Marketplace,Cancelled
O000252,C00625,P0128,2025-03-28,4,21530.68,0.221,198.81,Credit Card,Marketplace,Returned
O000253,C06685,P0248,2025-01-17,1,11858.17,0.17,71.46,Credit Card,Marketplace,Completed
O000254,C05567,P0486,2026-02-04,6,20117.66,0.234,310.38,UPI,Mobile App,Pending
O000255,C01367,P0439,2025-05-25,2,7147.79,0.127,424.09,UPI,Marketplace,Returned
O000256,C04034,P0118,2026-07-18,1000,22162.6,0.039,67.02,COD,Marketplace,Completed
O000257,C07931,P0403,2026-03-22,3,23738.64,0.111,346.11,UPI,Website,Cancelled
O000258,C07243,P0071,2025-01-02,5,1227.13,0.128,236.59,Debit Card,Mobile App,Completed
O000259,C00170,P0192,2025-02-22,2,11250.92,0.014,151.6,Credit Card,Website,Pending
O000260,C09183,P0398,2025-09-07,6,10247.04,0.094,407.32,COD,Marketplace,Completed
O000261,C00906,P0455,2025-12-21,2,11733.57,0.186,168.65,Credit Card,Marketplace,Cancelled
O000262,C00779,P0258,2025-09-01,4,14252.48,0.113,210.37,Debit Card,Website,Pending
O000263,C04876,P0140,2025-12-23,4,17691.59,0.171,240.43,UPI,Marketplace,Pending
O000264,C03991,P0123,2025-03-19,4,5789.19,0.135,66.2,Net Banking,Marketplace,Pending
O000265,C01641,P0229,2025-11-18,2,12117.69,0.018,438.25,Credit Card,Website,Cancelled
O000266,C00048,P0193,2025-06-02,1,24461.68,0.025,169.04,UPI,Website,Pending
O000267,C01259,P0186,2025-07-21,2,18526.37,0.043,390.06,COD,Marketplace,Completed
O000268,C03893,P0371,2025-01-10,6,1978.42,0.103,219.36,Net Banking,Marketplace,Completed
O000269,C09835,P0333,2026-01-25,6,3596.06,0.12,137.86,UPI,Mobile App,Cancelled
O000270,C00380,P0332,2025-02-13,4,7377.51,0.107,108.41,Debit Card,Website,Completed
O000271,C00145,P0132,2026-05-01,6,26163.26,0.179,394.66,COD,Website,Returned
O000272,C08735,P0124,2025-01-29,3,0.0,0.14,438.25,Net Banking,Mobile App,Completed
O000273,C01805,P0093,2025-03-24,2,3580.4,0.115,273.96,Net Banking,Website,Cancelled
O000274,C06887,P0409,2026-01-08,6,3674.14,0.076,144.58,Net Banking,Mobile App,Pending
O000275,C09832,P0316,2025-04-28,4,10962.99,0.086,206.95,Credit Card,Mobile App,Returned
O000276,C01906,P0256,2026-12-02,1,8503.15,0.059,234.15,Net Banking,Marketplace,Returned
O000277,C06567,P0385,2025-12-29,2,22432.93,0.212,135.45,UPI,Website,Returned
O000278,C00414,P0392,2025-08-13,4,12342.62,0.231,231.5,Debit Card,Mobile App,Returned
O000279,C99999278,P0107,2026-06-22,4,24505.43,0.025,281.35,Debit Card,Website,Pending
O000280,C06239,P0374,2025-10-23,2,849.43,0.054,334.53,UPI,Mobile App,Cancelled
O000281,C03356,P0404,2026-03-11,4,1589.31,0.221,104.44,Credit Card,Website,Cancelled
O000282,C01586,P0488,2026-03-03,6,4089.48,0.028,406.66,Debit Card,Website,Completed
O000283,C06501,P0192,2026-09-08,2,11250.92,0.074,128.85,Net Banking,Marketplace,Returned
O000284,C06362,P0107,2025-09-14,4,24505.43,0.065,33.06,Debit Card,Mobile App,Returned
O000285,C06184,P0304,2025-08-10,5,11338.01,0.226,464.95,Net Banking,Marketplace,Pending
O000286,C09886,P0002,2026-12-01,1,23104.95,0.07,125.55,Credit Card,Mobile App,Pending
