return_id,order_id,return_date,return_reason,refund_amount
R000399,O038696,2026-03-18,Late Delivery,8653.38
R000400,O028854,2026-05-07,Changed Mind,16708.02
R000401,O035681,2026-12-07,Late Delivery,-500.0
R000402,O031219,2026-09-12,Late Delivery,2874.21
R000403,O040078,2025-02-13,Damaged,18682.57
R000404,O037640,2026-06-23,Wrong Item,18229.32
R000405,O048197,2026-11-23,Quality Issue,14939.55
R000406,O007924,2026-09-10,Wrong Item,6624.72
R000407,O002859,2026-09-30,Quality Issue,14454.83
R000408,O022383,2026-02-18,Damaged,4198.12
R000409,O043837,2025-04-29,Damaged,8842.0
R000410,O017422,2025-12-19,Late Delivery,18051.84
R000411,O021186,2025-05-07,Changed Mind,2916.75
R000412,O007258,2025-03-15,Quality Issue,22495.28
R000413,O021032,2025-11-26,Late Delivery,12903.61
R000414,O041170,2026-03-04,Quality Issue,22471.99
R000415,O009211,2025-03-17,Wrong Item,19665.18
R000416,O000391,2026-09-26,Changed Mind,19400.35
R000417,O016149,2025-10-15,Wrong Item,14825.88
R000418,O019710,2026-10-19,Wrong Item,21466.52
R000419,O031622,2025-10-05,Changed Mind,22642.43
R000420,O045927,2025-02-25,Wrong Item,14888.78
R000421,O040028,2026-05-30,Late Delivery,15930.81
R000422,O006441,2026-09-05,Quality Issue,11649.02
R000423,O017560,2025-02-17,Quality Issue,23508.51
R000424,O015411,2026-08-14,Damaged,2399.87
R000425,O017447,2026-05-16,Changed Mind,-500.0
R000426,O039632,2026-01-14,Late Delivery,16615.67
R000427,O005426,2026-07-21,Changed Mind,11676.27
R000428,O006156,2026-11-06,Damaged,20612.36
R000429,O027252,2025-02-14,Quality Issue,17329.45
R000430,O046994,2025-09-24,Damaged,19595.84
R000431,O030856,2026-08-09,Damaged,11747.23
R000432,O005709,2025-01-10,Wrong Item,7087.48
R000433,O022469,2025-06-09,Wrong Item,9799.8
R000434,O003503,2026-09-19,Wrong Item,24666.03
R000435,O041147,2025-02-02,Quality Issue,16115.88
R000436,O023915,2025-12-01,Wrong Item,7693.56
R000437,O034300,2025-07-15,Changed Mind,5402.84
R000438,O025516,2025-01-10,Wrong Item,18429.02
R000439,O018740,2025-08-25,Quality Issue,5274.45
R000440,O033851,2025-12-16,Wrong Item,7476.62
R000441,O009715,2025-10-18,Wrong Item,18769.6
R000442,O048503,2025-09-06,Changed Mind,9547.47
R000443,O045031,2025-12-28,Damaged,19552.48
R000444,O049255,2025-05-15,Changed Mind,1164.63
R000445,O022221,2025-10-05,Wrong Item,9903.7
R000446,O010733,2025-11-26,Late Delivery,9445.5
R000447,O007299,2025-06-12,Wrong Item,9722.37
R000448,O016390,2025-12-08,Damaged,13844.27
R000449,O002391,2026-01-12,Changed Mind,9442.56
R000450,O028274,2026-11-19,Late Delivery,14523.03
R000451,O012062,2026-06-25,Quality Issue,1760.59
R000452,O047601,2025-07-24,Wrong Item,22834.81
R000453,O048269,2026-09-17,Wrong Item,1207.88
R000454,O008921,2026-05-18,Wrong Item,16016.46
R000455,O029829,2026-11-05,Late Delivery,18242.77
R000456,O021296,2026-10-02,Damaged,24375.65
R000457,O001545,2025-09-13,Late Delivery,13094.59
R000458,O043380,2026-06-17,Changed Mind,3782.45
R000459,O014570,2025-05-11,Quality Issue,2970.51
R000460,O017001,2025-07-08,Damaged,3665.8
R000461,O029780,2025-08-04,Damaged,18347.42
R000462,O031969,2026-09-05,Changed Mind,1657.35
R000463,O048106,2025-05-01,Wrong Item,19611.36
R000464,O019784,2025-04-27,Changed Mind,13733.16
R000465,O049006,2026-05-22,Wrong Item,18671.21
R000466,O020650,2026-06-15,Damaged,2866.8
R000467,O008870,2026-02-15,Late Delivery,3904.37
R000468,O046595,2026-10-06,Quality Issue,23553.82
R000469,O011268,2025-08-28,Quality Issue,21574.78
R000470,O008239,2026-11-23,Late Delivery,13226.88
R000471,O046831,2025-02-16,Quality Issue,8864.87
R000472,O007646,2026-12-23,Damaged,1455.8
R000473,O035000,2025-04-29,Quality Issue,5864.49
R000474,O018081,2026-10-29,Damaged,7675.39
R000475,O037675,2025-04-01,Damaged,2575.85
R000476,O018241,2026-12-25,Quality Issue,15657.41
R000477,O025970,2026-01-03,Quality Issue,14406.93
R000478,O035655,2025-02-08,Late Delivery,2023.63
R000479,O033702,2026-03-04,Damaged,2926.44
R000480,O045805,2026-01-29,Late Delivery,20249.73
R000481,O029711,2026-10-01,Changed Mind,4044.52
R000482,O999999481,2025-03-25,Quality Issue,1120.95
R000483,O015369,2026-10-27,Wrong Item,1534.45
R000484,O033757,2025-01-10,Changed Mind,19005.54
R000485,O046341,2025-11-16,Changed Mind,1284.49
R000486,O009285,2026-12-07,Changed Mind,22737.8
R000487,O028090,2025-06-25,Changed Mind,15005.46
R000488,O033802,2026-04-06,Wrong Item,14847.45
R000489,O035885,2025-05-21,Quality Issue,1102.13
R000490,O028470,2026-07-04,Wrong Item,16575.59
R000491,O042819,2025-11-10,Quality Issue,5240.05
R000492,O044718,2026-04-30,Changed Mind,904.46
R000493,O007155,2026-05-02,Quality Issue,16423.63
R000494,O001479,2026-07-06,Changed Mind,2278.7
R000495,O016648,2026-12-07,Quality Issue,14292.59
R000496,O036339,2025-05-17,Changed Mind,5824.79
R000497,O029134,2026-06-11,Wrong Item,14012.13
R000498,O042548,2026-05-08,Late Delivery,16186.32
R000499,O014029,2026-02-09,Damaged,10053.86
R000500,O024527,2025-03-12,Damaged,2230.62
R000501,O041707,2026-04-14,Late Delivery,16031.08
R000502,O028460,2025-06-05,Damaged,5283.13
R000503,O039550,2025-02-03,Damaged,18500.52
R000504,O029070,2026-05-21,Changed Mind,21106.88
R000505,O002194,2026-01-31,Late Delivery,-500.0
R000506,O020218,2025-08-07,Wrong Item,16934.94
R000507,O041200,2025-05-13,Damaged,1929.59
R000508,O031846,2025-11-30,Damaged,24581.86
R000509,O006621,2026-03-06,Wrong Item,20975.18
R000510,O028971,2025-06-19,Quality Issue,2536.05
R000511,O043641,2026-11-09,Damaged,8926.79
R000512,O015133,2025-01-18,Late Delivery,9242.13
R000513,O041783,2025-05-25,Changed Mind,4184.81
R000514,O025907,2026-08-25,Quality Issue,9776.46
R000515,O027438,2026-04-14,Quality Issue,17830.35
R000516,O005834,2026-10-01,Quality Issue,9167.61
R000517,O040241,2026-07-13,Damaged,9053.55
R000518,O046739,2025-06-11,Damaged,12820.39
R000519,O001138,2026-10-26,Late Delivery,13184.46
R000520,O004034,2025-10-11,Quality Issue,14631.33
R000521,O033698,2025-12-06,Damaged,17944.11
R000522,O043815,2026-04-06,Changed Mind,1385.36
R000523,O000874,2025-01-28,Damaged,11780.38
R000524,O045681,2026-11-18,Damaged,2308.92
R000525,O010185,2025-01-17,Quality Issue,6437.56
